test_name,fullkern_results,module_results,
igt@gem_exec_basic@basic@bcs0-smem,SUCCESS,SUCCESS
igt@gem_exec_basic@basic@vcs0-smem,SUCCESS,SUCCESS
igt@gem_exec_basic@basic@vcs1-smem,SUCCESS,SUCCESS
igt@gem_exec_basic@basic@vecs0-smem,SUCCESS,SUCCESS
igt@gem_exec_basic@basic@rcs0-lmem0,SUCCESS,SUCCESS
igt@gem_exec_basic@basic@bcs0-lmem0,SUCCESS,SUCCESS
igt@gem_exec_basic@basic@vcs0-lmem0,SUCCESS,SUCCESS
igt@gem_exec_basic@basic@vcs1-lmem0,SUCCESS,SUCCESS
igt@gem_exec_basic@basic@vecs0-lmem0,SUCCESS,SUCCESS
igt@kms_addfb_basic@addfb25-yf-tiled-legacy,SUCCESS,SUCCESS
igt@i915_pm_rpm@basic-rte,SKIP,SKIP
igt@kms_busy@basic,SKIP,SKIP
igt@kms_cursor_legacy@basic-flip-before-cursor-legacy,SKIP,SKIP
igt@gem_mmap@basic,SUCCESS,SUCCESS
igt@kms_chamelium@dp-hpd-fast,SKIP,SKIP
igt@kms_flip@basic-flip-vs-dpms,SKIP,SKIP
igt@kms_addfb_basic@bad-pitch-65536,SUCCESS,SUCCESS
igt@prime_self_import@basic-llseek-bad,SUCCESS,SUCCESS
igt@kms_cursor_legacy@basic-flip-after-cursor-atomic,SKIP,SKIP
igt@kms_cursor_legacy@basic-flip-after-cursor-legacy,SKIP,SKIP
igt@kms_cursor_legacy@basic-busy-flip-before-cursor-legacy,SKIP,SKIP
igt@kms_addfb_basic@addfb25-y-tiled-small-legacy,SUCCESS,SUCCESS
igt@kms_prop_blob@basic,SUCCESS,SUCCESS
igt@prime_vgem@basic-fence-mmap,SKIP,SKIP
igt@fbdev@info,SKIP,SKIP
igt@gem_render_tiled_blits@basic,SKIP,SKIP
igt@kms_addfb_basic@invalid-get-prop-any,SUCCESS,SUCCESS
igt@prime_vgem@basic-gtt,SKIP,SKIP
igt@gem_exec_suspend@basic-s0@basic-s0-smem,SUCCESS,SUCCESS
igt@gem_exec_suspend@basic-s0@basic-s0-lmem0,SUCCESS,SUCCESS
igt@prime_vgem@basic-fence-flip,SKIP,SKIP
igt@kms_force_connector_basic@force-load-detect,SKIP,SKIP
igt@gem_flink_basic@bad-flink,SUCCESS,SUCCESS
igt@kms_addfb_basic@framebuffer-vs-set-tiling,SKIP,SKIP
igt@gem_sync@basic-each@smem,SUCCESS,SUCCESS
igt@gem_sync@basic-each@lmem0,SUCCESS,SUCCESS
igt@prime_vgem@basic-write,SKIP,SKIP
igt@i915_hangman@error-state-basic,SUCCESS,SUCCESS
igt@gem_ringfill@basic-all,SUCCESS,SUCCESS
igt@kms_flip@basic-flip-vs-wf_vblank,SKIP,SKIP
igt@gem_exec_fence@basic-busy@rcs0,SUCCESS,SUCCESS
igt@gem_exec_fence@basic-busy@bcs0,SUCCESS,SUCCESS
igt@gem_exec_fence@basic-busy@vcs0,SUCCESS,SUCCESS
igt@gem_exec_fence@basic-busy@vcs1,SUCCESS,SUCCESS
igt@gem_exec_fence@basic-busy@vecs0,SUCCESS,SUCCESS
igt@kms_addfb_basic@bo-too-small-due-to-tiling,SKIP,SKIP
igt@kms_pipe_crc_basic@read-crc-pipe-c,SKIP,SKIP
igt@kms_addfb_basic@bad-pitch-63,SUCCESS,SUCCESS
igt@i915_module_load@reload,SUCCESS,SUCCESS
igt@i915_getparams_basic@basic-eu-total,SUCCESS,SUCCESS
igt@gem_huc_copy@huc-copy,SUCCESS,SUCCESS
igt@kms_addfb_basic@no-handle,SUCCESS,SUCCESS
igt@kms_addfb_basic@addfb25-x-tiled-mismatch-legacy,SKIP,SKIP
igt@kms_addfb_basic@unused-modifier,SUCCESS,SUCCESS
igt@kms_addfb_basic@too-high,SUCCESS,SUCCESS
igt@gem_basic@bad-close,SUCCESS,SUCCESS
igt@kms_chamelium@vga-hpd-fast,SKIP,SKIP
igt@kms_chamelium@hdmi-edid-read,SKIP,SKIP
igt@kms_pipe_crc_basic@compare-crc-sanitycheck-pipe-d,SKIP,SKIP
igt@kms_pipe_crc_basic@compare-crc-sanitycheck-pipe-b,SKIP,SKIP
igt@gem_linear_blits@basic,SUCCESS,SUCCESS
igt@kms_addfb_basic@basic,SUCCESS,SUCCESS
igt@kms_chamelium@dp-crc-fast,SKIP,SKIP
igt@i915_pm_backlight@basic-brightness,SKIP,SKIP
igt@gem_exec_parallel@engines@basic,SUCCESS,SUCCESS
igt@gem_exec_parallel@engines@contexts,SUCCESS,SUCCESS
igt@gem_exec_parallel@engines@fds,SUCCESS,SUCCESS
igt@gem_exec_parallel@engines@userptr,SUCCESS,SUCCESS
igt@kms_flip@basic-plain-flip,SKIP,SKIP
igt@gem_exec_fence@basic-await@rcs0,SUCCESS,SUCCESS
igt@gem_exec_fence@basic-await@bcs0,SUCCESS,SUCCESS
igt@gem_exec_fence@basic-await@vcs0,SUCCESS,SUCCESS
igt@gem_exec_fence@basic-await@vcs1,SUCCESS,SUCCESS
igt@gem_exec_fence@basic-await@vecs0,SUCCESS,SUCCESS
igt@vgem_basic@dmabuf-fence-before,SUCCESS,SUCCESS
igt@kms_addfb_basic@bo-too-small,SUCCESS,SUCCESS
igt@kms_chamelium@hdmi-hpd-fast,SKIP,SKIP
igt@vgem_basic@unload,SUCCESS,SUCCESS
igt@gem_flink_basic@double-flink,SUCCESS,SUCCESS
igt@kms_addfb_basic@unused-offsets,SUCCESS,SUCCESS
igt@prime_vgem@basic-userptr,SKIP,SKIP
igt@kms_pipe_crc_basic@compare-crc-sanitycheck-pipe-a,SKIP,SKIP
